id,base_dimensions,weight,position,allowed_rotations,rotation_type,is_fragile,calc_dimensions
1,"(17, 12, 12)",17,,[0],0,False,"(20.0, 15.0, 15.0)"
2,"(37, 27, 38)",19,,"[0, 1]",0,False,"(40.0, 30.0, 41.0)"
3,"(26, 19, 16)",9,,"[0, 1]",0,False,"(29.0, 22.0, 19.0)"
4,"(47, 12, 22)",20,,"[0, 1]",0,False,"(50.0, 15.0, 25.0)"
5,"(32, 18, 44)",18,,"[0, 1]",0,False,"(35.0, 21.0, 47.0)"
6,"(47, 31, 38)",18,,[0],0,False,"(50.0, 34.0, 41.0)"
7,"(15, 49, 35)",14,,"[0, 1, 2, 3, 4, 5]",0,False,"(18.0, 52.0, 38.0)"
8,"(38, 14, 14)",7,,"[0, 1, 2, 3, 4, 5]",0,False,"(41.0, 17.0, 17.0)"
9,"(27, 21, 12)",15,,[0],0,False,"(30.0, 24.0, 15.0)"
10,"(35, 24, 21)",13,,"[0, 1]",0,False,"(38.0, 27.0, 24.0)"
11,"(43, 36, 23)",19,,"[0, 1, 2, 3, 4, 5]",0,False,"(46.0, 39.0, 26.0)"
12,"(17, 25, 12)",15,,"[0, 1]",0,False,"(20.0, 28.0, 15.0)"
13,"(14, 22, 25)",6,,"[0, 1, 2, 3, 4, 5]",0,False,"(17.0, 25.0, 28.0)"
14,"(32, 17, 20)",13,,"[0, 1]",0,False,"(35.0, 20.0, 23.0)"
15,"(40, 35, 44)",7,,"[0, 1, 2, 3, 4, 5]",0,False,"(43.0, 38.0, 47.0)"
16,"(38, 28, 41)",9,,"[0, 1]",0,False,"(41.0, 31.0, 44.0)"
17,"(22, 33, 12)",20,,"[0, 1]",0,False,"(25.0, 36.0, 15.0)"
18,"(31, 26, 13)",19,,"[0, 1]",0,False,"(34.0, 29.0, 16.0)"
19,"(18, 16, 49)",11,,"[0, 1]",0,False,"(21.0, 19.0, 52.0)"
20,"(22, 41, 29)",12,,[0],0,False,"(25.0, 44.0, 32.0)"
21,"(36, 44, 16)",9,,"[0, 1]",0,False,"(39.0, 47.0, 19.0)"
22,"(21, 31, 47)",18,,"[0, 1]",0,False,"(24.0, 34.0, 50.0)"
23,"(17, 25, 21)",7,,"[0, 1, 2, 3, 4, 5]",0,False,"(20.0, 28.0, 24.0)"
24,"(15, 15, 37)",10,,"[0, 1, 2, 3, 4, 5]",0,False,"(18.0, 18.0, 40.0)"
25,"(36, 36, 17)",15,,"[0, 1, 2, 3, 4, 5]",0,False,"(39.0, 39.0, 20.0)"
26,"(37, 25, 16)",16,,"[0, 1, 2, 3, 4, 5]",0,False,"(40.0, 28.0, 19.0)"
27,"(32, 39, 22)",17,,[0],0,False,"(35.0, 42.0, 25.0)"
28,"(39, 48, 36)",7,,"[0, 1, 2, 3, 4, 5]",0,False,"(42.0, 51.0, 39.0)"
29,"(50, 22, 19)",6,,[0],0,False,"(53.0, 25.0, 22.0)"
30,"(20, 36, 19)",7,,"[0, 1]",0,False,"(23.0, 39.0, 22.0)"
