id,base_dimensions,weight,allowed_rotations,is_fragile
15,"(27, 27, 27)",5.4,"[0,1,2,3,4,5]",False
2,"(57, 57, 47)",30.9,"[0,1,2,3,4,5]",False
28,"(7, 7, 7)",2.2,"[0,1,2,3,4,5]",False
11,"(57, 17, 27)",9.2,"[0,1,2,3,4,5]",False
20,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
7,"(37, 37, 47)",16.4,"[0,1,2,3,4,5]",False
25,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
1,"(57, 67, 67)",34.3,"[0,1,2,3,4,5]",False
18,"(27, 27, 17)",4.1,"[0,1,2,3,4,5]",False
30,"(7, 7, 7)",2.2,"[0,1,2,3,4,5]",False
9,"(77, 17, 27)",11.5,"[0,1,2,3,4,5]",False
22,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
4,"(57, 37, 47)",24.5,"[0,1,2,3,4,5]",False
13,"(27, 27, 27)",5.4,"[0,1,2,3,4,5]",False
26,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
16,"(27, 27, 27)",5.4,"[0,1,2,3,4,5]",False
5,"(77, 37, 37)",21.1,"[0,1,2,3,4,5]",False
23,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
12,"(37, 17, 27)",6.9,"[0,1,2,3,4,5]",False
8,"(77, 17, 27)",11.5,"[0,1,2,3,4,5]",False
29,"(7, 7, 7)",2.2,"[0,1,2,3,4,5]",False
17,"(27, 27, 27)",5.4,"[0,1,2,3,4,5]",False
6,"(37, 37, 47)",16.4,"[0,1,2,3,4,5]",False
19,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
3,"(57, 37, 47)",24.5,"[0,1,2,3,4,5]",False
14,"(27, 27, 27)",5.4,"[0,1,2,3,4,5]",False
21,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
27,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
10,"(57, 17, 27)",9.2,"[0,1,2,3,4,5]",False
24,"(17, 17, 17)",2.2,"[0,1,2,3,4,5]",False
